㧻破	敲破
我無紮雨傘,規身軀攏沃澹去.	我沒帶雨傘,整個身體都淋濕了.
我共你使目尾,你攏無共我看.	我使眼色跟你暗示,你都沒看到.
我是做夜勤的,日時會當歇睏.	我是上夜班的,白天可以休息睡覺.
我若無拆破予你聽,你就毋捌.	我如果沒有說明給你聽,你是不會懂的.
我拄欲出去揣你,你拄好轉來.	我正要出去找你,你正好回來.
我佮伊的房間干焦隔一塊枋堵.	我和他的房間只隔了一片木板牆.
我去拍一條金鍊仔予伊做嫁粧.	我去訂做一條金項鍊給他當嫁妝.
我共你保證伊開的支票袂跳票.	我跟你保證他開的支票不會跳票.
我無彼號氣力閣佮你冤落去矣.	我沒有力氣再繼續和你吵下去了.
我細漢佮阿媽蹛,伊足疼我的.	我小時候跟祖母一起住,他非常疼愛我.
我予你驚一下險險仔無神魂去.	我被你嚇得險些魂飛魄散.
我上討厭彼種講話無信用的人.	我最討厭那種講話沒信用的人.
我逐个攏看過矣,攏毋是你的.	我每一個都看過了,都不是你的.
我欲揣校長,勞煩你通報一下.	我要找校長,麻煩你通報一聲.
我都毋去矣,伊閣較無可能去.	我都不去了,他更不可能去.
我家己來就好矣!毋敢勞動你.	我自己來就好了!不敢勞駕您.
我猶未講煞,你先莫插話好無?	我還沒說完,你先別插嘴好嗎?
我走無十分鐘,就強欲無氣矣.	我跑沒十分鐘,就快上氣不接下氣了.
我下晡會共錢匯入去你的戶頭.	我下午會把錢匯進你的戶頭.
我無這款經驗,請你共我指教.	我沒有這種經驗,請你給我指正教導.
我是萬不得已,才會來拜託你.	我是非常不得已,才會來拜託你.
我已經泡一杯厚茶欲予你解酒.	我已經泡一杯濃茶來給你解酒.
我欲趕去車頭,你先共我閘車.	我要趕去車站,你先幫我攔車.
我寧可去做苦工嘛無愛去做賊.	我寧可去做苦工也不願去當賊.
我希望共這條數佮彼條數對拄.	我希望把這筆帳和那筆帳相抵.
我揣無路,一直佇這搭踅玲瑯.	我找不到路,一直在這附近繞圈子.
我儉腸凹肚,就是為著欲買厝.	我省吃儉用,就是為了要買房子.
我予滾水燙一下膨疱,足疼的.	我被開水燙得起水泡,好痛喔.
我當咧無閒,你莫徛佇遮鎮地.	我正在忙,你不要在這裡礙事.
我誠㤉潲伊彼款做代誌的態度.	我很討厭他那種做事的態度.
我袂曉畫,無,我𪐞一張予你.	我不會畫,不然,我描一張給你好了.
我睏一醒矣,你哪會閣毋去睏?	我睡了一覺醒來了,你怎麼還不去睡?
我跤捗比人較大,真歹買鞋仔.	我腳丫子比人家大,很難買鞋子.
我顧佮厝邊喋詳,煞袂赴煮晝.	我顧著和鄰居閒扯淡,竟來不及煮午飯.
我去臺南,攏會去買蝦卷來食.	我到臺南,都會去買蝦捲來吃.
拄才出大日,目𥍉仔就落大雨.	剛剛出大太陽,一下子就下大雨.
拄著代誌愛冷靜,毋通遐生狂.	遇到事情要冷靜,不要這麼慌張.
按這條大路直直去就到阮兜矣.	從這條大馬路一直走下去就到我家了.
按怎共伊好喙,伊就是毋答應.	再怎麼跟他說好說歹的,他就是不答應.
提出較好的條件對方就會投降.	提出較好的條件對方就會投降.
提筅仔來共桌頂的塗粉筅筅咧.	拿撢子來把桌上的灰塵刷一刷.
提起來漉漉咧,聽看內底是啥.	拿起來搖一搖,聽聽看裡面是什麼.
摒掃的工課予倩的去做就好矣!	打掃的工作交給員工做就好了!
救蟲,賴賴趖;救人,無功勞.	救蟲,蟲還會活潑蠕動,像在表示感謝;救人,卻一點功勞也沒有.俗語,慨嘆人心險惡,忘恩負義,比蟲還不如.
日月潭是一个真出名的風景區.	日月潭是一個很有名的風景區.
日頭曝尻川矣,你猶毋緊起來!	太陽晒屁股了,你還不快點兒起床!
日本點心甜粅粅,食濟會大箍.	日本點心很甜,吃多了會胖.
早前連番薯臭香,嘛礤簽來食.	以前連地瓜得了黑斑病,變黑又發臭,也刨絲來吃.
早前槺榔是做掃帚的主要材料.	以前槺榔是製作掃把的主要材料.
明仔載欲安床,你毋通袂記得.	明天要安床,你別忘記了.
明仔載欲考試,閣愛拚暝工矣.	明天要考試,又要開夜車了.
明仔早起我欲佮阮阿公去運動.	明天早上我要和我爺爺去運動.
明仔暗我就欲坐車轉去下港矣.	明晚我就要坐車回南部了.
明仔載免上班,會使穩心仔睏.	明天不用上班,可以安心入睡.
昨暝狗母毋知按怎一直吹狗螺.	昨夜母狗不知怎麼一直在悲鳴.
昨暗落大雨,阿英𪜶兜做水災.	昨天晚上下起大雨,阿英他家淹大水.
昨暗伊腹肚疼甲佇眠床頂拍翸.	昨天晚上他肚子痛到在床上打滾.
昨昏做無了的,這馬接落去做.	昨天沒做完的,現在接著做.
是拄搪予我看著,我才知影的.	是剛好被我看到,我才知道的.
是啥原因致使代誌到這款地步?	是什麼原因致使事情到這個地步?
是你得失人,愛去共人坐毋著.	是你得罪了人家,要去向人家賠個不是.
會計師明仔載欲來阮公司查數.	會計師明天要來我們公司查帳.
會當佮恁做親情,我嘛誠歡喜.	能和你們結成親家,我也很開心.
有一半个仔人客真𠢕嫌東嫌西.	有一兩個客人很會嫌東嫌西.
有人咧叫門,你去看是啥物人?	有人在敲門,你去看是誰?
有燒香有保庇,有食藥有行氣.	有燒香就會得神佛保佑,有吃藥就會有療效.
有的歌手自細漢就四界去走唱.	有的歌手從小就四處走唱.
有話就明講,毋通囥佇心肝內.	有話就明講,不要放在心裡頭.
有一个查某囡仔按對面行過來.	有一個女孩從前面走過來.
有這款的成績,我就真滿意矣.	有這樣的成績我就很滿意了.
有話聽好講,毋通囥佇心肝內.	有話可以講,不要放在內心.
杉箍囥坦徛若倒落來會撼著人.	杉木塊直立放置若倒下來會砸到人.
枕頭囊全油垢,剝起來洗洗咧.	枕頭套都是油汙,拆下來洗一洗吧.
查某的徛這爿,查埔的徛彼爿.	女性站這邊,男性站那邊.
柴做的物件愛鑢予伊平才好看.	木材做的東西要磨平才好看.
柿粿𩚨嗲嗲、甜粅粅,真好食.	柿餅有嚼勁、甜甜的,很好吃.
桌頂毋通留餅幼仔,會唌狗蟻.	桌上不要留餅屑,會引來螞蟻.
梨仔誠厚重,無幾粒就三斤矣.	梨子很沉重,才幾顆就已經三斤重了.
棉被先捲起來才收入去袋仔內.	棉被先捲起來再收進袋子裡.
樹林仔、草埔仔攏有真濟蟲豸.	樹林、草叢都有很多昆蟲.
機器有佗位仔走縒,才袂振動.	機器有某個地方故障,才不會運轉.
欲落大雨矣,咱愛緊離開沙埔.	要下大雨了,我們趕緊離開沙地.
欲好,龜𬦰壁;欲敗,水崩山.	要使家道興旺,就像烏龜爬牆壁那樣困難;一旦家道敗壞,就如土石流那樣快速.
毋通佇人的尻脊後講人的歹話.	不要在別人背後說壞話.
毋通閣躊躇矣,殘殘共決落去!	不要再猶豫了,乾乾脆脆把它決定下來!
比武招親是歌仔戲才有的齣頭.	比武招親是歌仔戲才有的把戲.
洗身軀的時肚臍嘛愛洗予清氣.	洗澡的時候肚臍也要洗乾淨.
洘旱的時陣無水通用,真艱苦.	旱災的時候沒水可以用,真痛苦.
準時納稅是納稅義務人的義務.	準時納稅是納稅義務人的義務.
準講是伊來,我嘛無咧共信篤.	就算是他來,我也不將他放在眼裡.
炭空挖塗炭,著愛先用磅子磅.	炭坑挖煤炭,得要先用炸藥炸開.
炭空挖塗炭,著愛先用磅子磅.	炭坑挖煤炭,得要先用炸藥炸開.
炮仔工場爆炸,員工受傷嚴重.	炮竹工廠爆炸,員工受傷嚴重.
為著趁一屑仔錢,老命險無去.	為了一點點錢,老命差點丟了.
無你佇我的身邊,我加誠孤單.	沒有你在我身邊,我倍感孤單.
無奈何,只好去揣阿伯鬥相共.	不得已,只好去找伯父幫忙.
無論職業是啥,攏愛認真拍拚.	無論職業是什麼,都要認真努力.
無做無代誌,若做毋好去倒害.	沒做沒事,如果做不好反而糟糕.
無閒遮久矣,你著好好仔歇睏.	忙了這麼久,你要好好休息.
熨衫愛熨予伊死性,才會好看.	燙衣服要燙到定型,才會好看.
爸母的行為會影響著囝兒序細.	父母的所作所為會影響到孩子.
牧師的話佇我的心內發生作用.	牧師的話在我心裡產生作用.
物件款予伊便,才袂時到揣無.	東西準備好,才不會到時候找不到.
物件若好,較貴一點仔無要緊.	東西如果品質好,貴一點沒關係.
物件是你挵破的,你就愛賠錢.	東西是你打破的,你就要賠錢.
物件囥佇遮,欲食毋食隨在伊.	東西放在這裡,要吃不吃隨他.
犯罪的人會予人掠入去櫳仔內.	犯罪的人會被抓進去監獄裡.
當咧嗽閣食冰,嚨喉會縮起來.	正在咳嗽還吃冰,喉嚨會收縮變緊.
病若欲緊好,無噤喙是袂用得.	病情若想趕快好轉,不忌口是行不通的.
直直行到路尾就會看著彼坎店.	直走到路的盡頭就會看到那家店.
相分,食有賰;相搶,食無份.	飲食互相分享,則綽綽有餘;互相爭搶,反而沒得吃.諺語,比喻禮讓則互蒙其利,爭奪則互受其害.
看你閣欠缺偌濟,我來想辦法.	看你還差多少,我來設法.
看伊寫的物件,我真正會吐血!	看他寫的東西,我真的會吐血!
看伊佇遐吐氣,一定是有心事.	看他在那裡嘆氣,一定是有心事.
看著伊彼个死人面,我就受氣.	看到他那張死相,我就生氣.
看伊行路的款,實在有夠風騷.	看他那副走路的樣子,實在是輕佻到極點.
看了鑿目,規氣莫看就無代誌.	看了礙眼,乾脆不看就沒事了.
真罕行,你今仔日哪有閒通來?	真是稀客,你今天怎麼會有空來?
真歹勢,我無法度共你鬥相共.	真不好意思,我沒辦法幫你.
知影家己毋著,頭隨頕低落來.	知道自己不對,頭馬上垂了下來.
硬拄硬一工著愛兩千箍倩人顧.	請人照顧一天一定得要兩千元.
禮拜欲大摒掃,毋通走出去耍.	星期日要大掃除,不要跑出去玩.
第二次大戰死去的人有規千萬.	第二次大戰死去的人有成千上萬.
算命仙的講𪜶兩人的八字袂合.	算命先生說他們兩人的八字不合.
米洗無清氣的款,飯食著沙沙.	米沒洗乾淨的樣子,飯吃起來沙沙的.
緊去洗身軀,洗好通較早去睏.	趕快去洗澡,洗完好早點去睡覺.
緊來鬥跤手,毋通插胳徛咧看.	快來幫忙,不要插腰站在那邊看熱鬧.
縣爺先去官廳辦公,才去巡視.	縣太爺先去衙門辦公,才去巡視.
總統委任伊做大使派往聯合國.	總統派任他當大使派往聯合國.
羅漢跤仔四界流,流到南洋去.	單身漢四處浪蕩,流浪到南洋去.
羊毛衫愛用焦洗的,才袂勼水.	羊毛衣要用乾洗的,才不會縮水.
老大人腸仔無力,有時會滲屎.	老人腸子沒力,有時會不由自主拉屎.
聽講𪜶兜彼間大厝這馬是古蹟.	聽說他家的那間大房子現在是古蹟.
聽講伊佮阿英咧交往,敢有影?	聽說他和阿英在交往,是真的嗎?
聽著音樂聲,逐家就綴咧合唱.	聽到音樂聲,大家就跟著合唱.
聽我的,攏總硩落去就著矣啦!	聽我的,全部壓下去就對了啦!
聽候鼎熱的時,才下油落去炒.	等到鍋子的溫度夠熱了之後,再把油放下去炒.
股票、債券攏是有價值的證券.	股票、債券都是有價值的證券.
自從離開故鄉,每日思念爸母.	自從離開故鄉,每天思念父母.
自昨暝到今伊攏一直啼啼哭哭.	從昨晚到現在他都一直哭泣不止.
臺北是一个四通八達的大城市.	臺北是一個四通八達的大城市.
臺北橋跤有誠濟等欲做散工的.	臺北橋下有很多等著要打零工的人.
臺灣規年迵天攏看會著大紅花.	臺灣一整年都看得到扶桑花.
舊曆的小月干焦二十九工爾爾.	農曆的小月只有二十九天而已.
舊年遮火燒山,樹仔攏燒了了.	去年這裡山林失火,樹木全部燒光了.
舊曆過年公司歇差不多一禮拜.	農曆過年公司差不多休一個禮拜.
船到碼頭,逐家攏準備欲落船.	船到碼頭,大家都準備要下船.
若準明仔載落雨,咱就莫去矣!	如果明天下雨,我們就不要去了!
若照按呢落去,代誌就毋好矣.	若照這樣下去,事情就不好了.
草蓆仔頂的塗粉拭拭咧才去睏.	草蓆上的灰塵擦一擦再上去睡覺.
菜金菜塗,攏搦佇菜蟲的手裡.	蔬菜價格暴漲暴跌,都控制在菜蟲的手裡.
落大雨了後,田塗攏變漉糊糜.	下大雨之後,田土都變爛泥.
蔗尾拍結做號頭,千萬毋通敨.	甘蔗尾梢打結當暗號,千萬不要解開.
蔥頭味真薟,予人切甲流目屎.	洋蔥味真嗆,讓人切得流眼淚.
藥粕無啥物藥效,會使擲掉矣.	藥渣沒什麼藥效,可以丟掉了.
虹誠媠,毋過一時仔就無去矣.	彩虹很漂亮,不過一下子就不見了.
血氣袂順的人,較會跤麻手痺.	氣血不順的人,比較容易手腳麻痺.
行路毋行好勢,跋倒是該然的.	走路不好好走,當然會跌倒.
行到雙叉路口,毋知愛按怎行.	走到雙叉路口,不知道該怎麼走.
行船人佇海上作業,風險真大.	船員在海上作業,風險很大.
袂曉就講袂曉,毋通袂博假博.	不會就說不會,不要不懂裝懂.
袋仔喙愛封起來,餅才袂潤去.	袋口必須密合住,餅乾才不會潮溼.
規路攏是車,毋知欲窒甲當時.	整路都是車,不知要堵到何時.
講來講去,總講一句是你毋著.	說來說去,總歸一句,是你錯了.
講起阮細漢的時,生活真艱苦.	提起小時侯,生活很困苦.
警方咧調查死者敢有佮人結怨.	警方正在調查死者是否與人結怨.
警察用衛生紙頂面的潲做證據.	警察用衛生紙上的精液當證據.
讀冊若無接續,就較會袂記得.	念書如果沒有接續不斷,就比較容易忘記.
豬來散,狗來富,貓來起大厝.	有豬來會貧窮,若是有流浪貓、流浪狗來投靠的話,往往會帶來意外的財運.
買命喔,車欲開矣,伊猶毋來.	真要命喲,車都要開了,他到現在還不出現.
買遮的跤梢貨,無一个會用得.	買這些爛貨,沒有一個堪用.
賣這合仔趁,本錢二五賣五十.	賣這個賣一個賺一個,成本二十五元賣五十元.
賰的線頭無夠長,無法度紩衫.	剩下的短線不夠長,沒辦法縫衣服.
跤手遮緊,隨予你搩幾若塊去.	動作這麼快,馬上就被你吃掉好幾塊.
身軀洗了隨出去弄風會去寒著.	洗完澡馬上出去吹風會感冒.
身軀去戽水戽戽咧,才袂遐熱.	身體去潑一潑水,才不會那麼熱.
車頭附近有真濟叫客的計程車.	車站附近有很多會拉客的計程車.
較早踮厝內,大囝的責任較重.	早期在家裡,長子的責任比較重.
較早的人定定用肥豬肉來煏油.	以前的人常用肥豬肉來炸油.
逐个人攏嘛想欲過自由的生活.	人人都想要過自由的生活.
逐年清明,阮攏轉去南部挂紙.	每年的清明節,我們都回去南部掃墓.
逐擺聽伊講話,我攏會規腹火.	每次聽他講話,我都會滿腔怒火.
逐透早佇漁港攏有人咧喝魚仔.	每天一大早漁港都有人在拍賣魚貨.
逐日作穡作甲腰脊骨強欲折去.	每天工作到腰骨快斷了.比喻工作很辛苦.
逐家著愛互相體諒,毋通計較.	大家要互相體諒,不要計較.
逐冬媽祖生,廟裡攏會抾丁錢.	每年天上聖母誕辰,廟方都會照每家男丁的人數,去徵收分攤的費用.
這个庄頭無偌大,蹛無幾口灶.	這個村子沒多大,沒有幾戶人家住在那裡.
這罐芳水較低級,毋是高級貨.	這瓶香水是比較低級的貨品,不是高等級的貨色.
這款代誌曷使閣問,土想嘛知.	這種事情何必再問,不用想也知道.
這條路真歹行,你著勻勻仔行.	這條路很難走,你要慢慢地走.
這種餅世代相傳已經規百年矣.	這種餅世代相傳已經幾百年了.
這兩个皮包仔看著仝款仔仝款.	這兩個皮包看起來一模一樣.
這馬的作穡人攏用機械咧種作.	現在的農夫都用機械種植作物.
這塊桌仔摸著沙沙,愛拭拭咧.	這張桌子摸起來沙沙的,要擦一擦.
這間學校是公立的抑是私立的?	這間學校是公立的或是私立的?
這粒西瓜到分矣,真甜真好食.	這顆西瓜成熟了,很甜很好吃.
這種卸面皮的代誌千萬毋通做.	這種丟臉的事千萬不要做.
這是要緊的契約,你毋通拆破.	這是重要的契約,你不要撕毀了.
這是別人的代誌,你莫咧沓滴.	這是別人的事,你不要多管.
這幫車直透花蓮,中間攏無停.	這班車直達花蓮,中間沒停.
這條錢你後月日愛會記得還我.	這筆錢你下個月要記得還我.
這種布料是用天然的染料染的.	這種布料是用天然的染料染的.
這馬足少人咧翕烏白的相片矣.	現今很少人會照黑白相片了.
這擺市內做大水,損失誠嚴重.	這次都市裡發生水災,損失慘重.
這件代誌啥物時陣欲開始動手?	這件事情什麼時候開始著手進行?
這件代誌我無接手,你莫問我.	這件事我並沒有經手,你別來問我.
這張申請單你緊共提去添添咧.	這張申請單你趕快拿去填一填.
這種粗俗物仔,買來粗用就好.	這種便宜貨,買回來當普通用就可以.
這馬粗重的工課攏用機械咧做.	現在粗重的工作都用機械在做.
這條法案已經佇立法院通過矣.	這條法案已經在立法院通過了.
這件代誌咱毋是頂日就講好矣?	這件事我們不是前幾天就說好了嗎?
這个囡仔真喙白,逐項都毋食.	這個小孩真挑食,什麼都不吃.
這張圖真媠,我欲描一張起來.	這張圖很漂亮,我要描一張起來.
這咱莫挃矣!較省佮人掰手面.	這個我們不要了!免得跟別人起爭執.
這站仔較無眠,歇睏日愛補眠.	這陣子睡眠不足,放假日要補眠.
這張舊相片是我無意中揣著的.	這張舊相片是我無意中找到的.
這台機車無路用矣,愛報廢掉.	這台機車不中用了,要報廢掉.
這擺的地動佳哉攏無造成損傷.	這次的地震幸好都沒有造成損傷.
這馬外口暗眠摸,你閣欲出去?	現在外面一片漆黑,你還要出去?
這幾日仔落雨,厝內塗跤溡溡.	這幾天下雨,屋子裡的地板潮潮的.
這鼎肉我滷規下晡,保證好食.	這鍋肉我滷了整個下午,保證好吃.
這種漚色的衫無適合少年人穿.	這種顏色灰暗的衣服不適合年輕人穿.
這隻烏色的是欲留落來做種的.	這隻黑色的是要留下來做種的.
這个精牲!竟然做出這款代誌!	這個畜生!竟然做出這種事情!
這間公司的產品攏有這个標頭.	這間公司的產品都有這個商標.
這馬菜遮爾仔貴實在買袂落手.	現在蔬菜這麼貴實在買不下去.
這間公司的財務需要整頓一下.	這間公司的財務需要整頓一下.
這个物件是我臆著燈猜的獎品.	這個東西是我猜燈謎猜到的獎品.
這款小可仔代誌我來應付就好.	這種小事我來應付就好了.
這號代誌你拍算欲隱瞞伊偌久?	這種事情你打算瞞他多久?
這改的風颱走了後又閣翻頭矣.	這次的颱風走後又回頭了.
這塊杯仔有必痕,毋通閣用矣.	這個杯子有裂痕,不要再用了.
這擔的炒塗豆,逐粒都仁仁仁.	這一攤的炒花生,每一顆都非常飽滿.
這个人是火烌性,較會得失人.	這個人是火暴性子,比較容易得罪人.
這台車是自家用的,無營業牌.	這輛車是自家轎車,沒有營業牌照.
這帖漢藥食落去,真緊就見效.	這帖中藥吃下去,很快就見效.
這間海產店就是搵料咧出名啦!	這家海產店就是因沾醬而出名啦!
這佇音韻學上完全解說會得過.	這在音韻學上完全說得過去.
連鞭寒,連鞭熱,蜂蝦生真少.	一下子冷,一下子熱,導致蜂蛹產量減少.
過往發生的代誌,莫閣去想矣.	過去發生的事情,別再去想了.
過年時濟濟人無法度轉去圍爐.	過年的時候很多人沒辦法回去圍爐.
遮的物件伊做一睏仔共伊食了.	這裡的東西他一口氣把它吃完.
遮的果子是欲用來拜好兄弟的.	這些水果是要用來祭拜孤魂野鬼的.
遮的先留落來,後擺猶有路用.	這些先留下來,以後還有用處.
遮人真濟,你毋通蹛遮拋麒麟.	這裡人很多,你不要在這裡翻筋斗.
遮細漢就無爸無母,真無捨施.	這麼小就父母雙亡,真可憐.
那行那食物件,實在真歹看相.	邊走邊吃東西,實在很難看.
那讀冊那看電視,欲哪讀有冊?	邊讀書邊看電視,怎麼有辦法念書?
醫生講伊這个病會好也袂斷根.	醫生說他這個病就算會好也不能根治.
醫學進步,人的性命較有保障.	醫學進步,人的生命比較有保障.
銀行共這間工廠的錢根抽轉去.	銀行把這間工廠的銀根抽回去.
開十萬箍買這軀衫實在真無局.	花十萬元買這套衣服實在非常不划算.
閣等一下啦!連鞭就欲出帆矣.	再等一下!馬上就要開船了.
閣差臨臨仔就會跋落去溝仔底.	再差一點點就會掉到水溝裡.
關公攑關刀,過五關,斬六將.	關公拿關刀,過五關,斬六將.
阮這陣兄弟已經熟似十幾冬矣.	我們這群朋友已經認識十幾年了.
阮阿公的冊房內底有真濟古冊.	我爺爺的書房裡有很多古書.
阮阿母較早專門咧共人抾囡仔.	我母親以前是專門在幫人家接生的.
阮老師對每一个同學攏真疼惜.	我們老師對每一個同學都很疼惜.
阮公司想欲採用較有經驗的人.	我們公司想要採用比較有經驗的人.
阮牽手透早就去菜市仔買菜矣.	我太太一大早就去菜市場買菜了.
阿美一直咧掃塗跤,攏無歇睏.	阿美一直在掃地,都沒有休息.
阿姨毋是外人,你講,無要緊.	阿姨不是外人,你說,沒有關係.
阿義是𪜶兄弟姊妹內面的老大.	阿義在他們家排行老大.
阿公的阿兄咱愛叫伊“伯公”.	爺爺的哥哥我們要叫他“伯公”.
阿滿仔討契兄,去予𪜶翁㨑著.	阿滿紅杏出牆,被老公逮個正著.
阿仁透中晝毋食飯,咧趕穡頭.	阿仁中午不吃飯,在趕工作.
阿榮伯上過謙,對人有夠客氣.	阿榮伯最為謙虛,對人很客氣.
阿姊攑花仔傘共彼个阿婆遮日.	姊姊拿洋傘幫那位阿婆遮陽.
阿爸幌頭表示無同意這件代誌.	父親搖頭表示不同意這件事情.
阿母想欲飼一隻狗仔佮伊做伴.	媽媽想要養一隻狗跟他作伴.
隔壁咧娶新娘,咱來去看鬧熱.	隔壁在娶新娘,我們去看熱鬧.
雖然厝內真散,伊攏毋捌怨嘆.	雖然家裡很窮,他都不曾怨恨悲嘆.
雙棚鬥往往雙方攏會受著傷害.	互相角力往往雙方都會受傷.
雞卵愛有雄提去孵才孵會出來.	有受精的雞蛋拿去孵才孵得出來.
電火攑懸會當炤著較闊的範圍.	燈舉高光照的範圍較寬闊.
青翠的草埔,予人看著真爽快.	鮮綠的草地,讓人看起來很舒服.
頂禮拜阮一陣人上山去看風景.	上個禮拜我們一群人登山去看風景.
領帶傷絚,繏甲我強欲袂喘氣.	領帶太緊了,勒得我差一點不能呼吸.
頭毛洗好愛吹予焦,才袂感冒.	頭髮洗好要吹乾,才不會感冒.
頭家,這个傷舊,我欲換別个.	老板,這個太舊了,我要換另外一個.
頭家講欲招待逐家去日本𨑨迌.	老闆說要款待大家去日本玩.
風颱欲來矣,咱著愛提高警戒.	颱風要來了,我們必須要提高警覺.
風颱天的菜價有影貴甲驚死人!	颱風天的菜價真的貴到嚇死人!
食甲七老八老矣,猶閣毋認老.	活到七老八十了,還不認老.
食無三把蕹菜,就想欲上西天.	吃沒三把空心菜,就想要上西天.嘲諷自不量力或妄想一步登天的人.
食尾牙面憂憂,食頭牙撚喙鬚.	吃尾牙的時候,員工可能被辭退,所以人心惶惶;吃頭牙的時候,員工不會有被辭退的擔心,所以人心安穩.
食鹹的了後,換食甜的紲喙尾.	吃了鹹的後,改吃甜的換口味.
飼雞的人差不多攏會用著雞罩.	養雞的人差不多都會用到圈雞的罩子.
餅敨開愛緊食予了,無會潤去.	大餅剖開要趕快吃,不然會受潮.
騙痟的!騙人攏毋捌出過社會.	騙鬼!騙人都沒出過社會.
鳥仔生成會飛;人生成會行路.	鳥天生會飛;人天生會走路.
鹹酸甜食起來酸甘甜仔酸甘甜.	蜜餞吃起來的味道是酸中帶甜.
麻煩你共面頂彼本冊提來予我.	麻煩你把上面那本書拿來給我.
𥴊仔店的物件攏是散賣的較濟.	雜貨店的東西都是零售包比較多.
𪜶老爸是專門咧共人看地理的.	他父親是專門在幫人看風水的.
𪜶翁過身了後,伊就守寡到今.	他先生過世之後,他就守寡至今.
𪜶翁仔某會冤家攏是你咧使弄.	他們夫妻會吵架,都是你挑撥、唆使的.
𪜶兩人的佳期就定佇十月初六.	他們兩個人的婚期就定在十月六日.
𪜶兩个毋是親兄弟,是叔伯的.	他們倆個不是親兄弟,是叔伯關係.
𪜶咧拚生理,咱緊來去抾俗貨.	他們在拚生意,我們趕緊去挑便宜貨.
𪜶規家伙仔靠拋網掠魚過日子.	他們一家人靠撒網捕魚過日子.
𪜶這馬當青春,猶毋知通煩惱.	他們現在正年輕,還不知道要煩惱.
𪜶前某對人誠好,予人誠感心.	他前妻對人很好,讓人很感動.
𪜶兩兄弟透早就去山頂剉柴矣.	他們兩兄弟早上就到山上去砍柴了.
𪜶兜生活的重擔,攏是伊咧擔.	他家生活的重擔,都是他在承擔.
𪜶老母破病了後到今攏無較好.	他媽媽生病之後一直到今天都沒有比較好.
𪜶兜的神主牌仔竟然會拍毋見.	他家的祖先牌位竟然會不見了.
𪜶老爸若佇咧,伊就毋敢亂來!	如果他老爸在,他就不敢胡作非為!
𪜶嗤舞嗤呲佇遐咧講人的歹話.	他們小小聲的在那裡說別人的壞話.
𪜶兩个是毋是會結婚猶真僫講.	他們兩個是不是會結婚還很難說.
𪜶兜的土地去予政府徵收去矣.	他們家的土地被政府徵收了.
𪜶兩人共彼个囡仔抾轉來養飼.	他們兩人把那個小孩子撿回來撫養.
𪜶頭家若較歹咧,伊就較覕鬚.	他的老闆兇一點,他就比較收斂不敢招搖.
𪜶老爸若對伊變面,伊就覕鬚.	他爸爸若跟他翻臉,他就快要哭了.
𪜶囝娶彼个某,毋但媠閣巧氣.	他兒子娶的那個老婆,不只漂亮也很聰穎.
一屑仔代誌都辦袂好勢,真下痟!	一點小事情都辦不好,真沒用!
一切攏愛按阮的規矩來行才會使.	一切都必須按照我們的規定來做才可以.
一陣春風吹來,予人感覺誠清彩.	一陣春風吹過來,讓人覺得十分的舒服,神清氣爽.
一領衫穿甲歪膏揤斜,有夠歹看.	一件衣服穿得歪七扭八,真難看.
三年前破病了後,煞留一个病母.	三年前生病以後,竟留下了一個病根.
予伊掠龍了後,規身軀攏誠爽快.	讓他按摩之後,整個身體都很舒服.
事業交予後生了後,就是閒身矣.	事業交給兒子經營以後,就是清閒的人了.
五日節,愛攢一寡牲醴來拜公媽.	端午節,要準備一些牲禮來拜祖先.
人若予人比並做精牲就足毋值矣!	人要是被比喻成畜牲就很不值了!
人欲來揣你算數矣,你閣毋知死.	別人要來找你算帳了,你還不知死活.
人講會做翁仔某是頂世人相欠債.	有人說會成為夫妻是因為上輩子互相欠債.
人若有歲,身體就會開始厚毛病.	人如果上了年紀,身體就會開始有很多毛病.
人民無受教育會阻礙國家的進步.	人民沒有受教育會阻礙國家的進步.
人若袂喘氣就是欲轉去見公媽矣.	人如果沒法呼吸就是要回去見老祖宗了.
人都已經死去矣,你莫閣傷心矣.	人都已經死了,你就別再傷心了.
人客欲來矣,你緊去煎茶來款待.	客人要來了,你快去燒水泡茶招待他們.
人咧睏晝,你莫佇遐唱歌噪人耳.	人家在午睡,你不要在那唱歌擾人清靜.
人情留一線,日後才袂歹面相看.	人情留一線,改天才不會惡臉相向.
人生在世,親像出外寄跤的旅客.	人生於世,宛若出外寄居的旅客.
今仔日十六,有真濟生理人做牙.	今天十六號,有很多生意人備牲祭拜土地公和孤魂野鬼.
今仔日的代誌上好莫拖到明仔日.	今天的事情最好不要拖到明天.
今仔日就是敗市,毋才會賣遮俗.	今天因為滯銷,所以才會賣這麼便宜.
今仔日無閒甲連喘氣的機會都無.	今天忙到連短暫休息的機會也沒有.
今年的義賣會,有真濟人鬥捀場.	今年的義賣會,有很多人幫忙捧場.
代誌會成袂成,介在你欲做毋做.	事情能否成功,在於你是否願意去做.
代誌做到半中站,袂使喝停就停.	事情做到一半,不能說停就停.
代誌到這个坎站,我嘛無法度矣.	事情到這個地步,我也沒辦法了.
代誌愛先舞予清楚,毋通烏白拂.	事情要先搞清楚,不要隨意蠻幹.
代誌沓沓滴滴,按怎做都做袂了.	一大堆繁雜的事情,怎麼做都做不完.
