㔂	lân
你指甲傷長矣,愛鉸鉸咧.	Lí tsíng-kah siunn tn̂g--ah, ài ka-ka--leh.
你是毋是刁故意欲為難伊?	Lí sī m̄ sī tiau-kòo-ì beh uî-lân--i?
你莫佮我坐相倚,較袂熱.	Lí mài kah guá tsē sio-uá, khah bē jua̍h.
你著愛珍惜咱兩人的感情.	Lí tio̍h-ài tin-sioh lán nn̄g lâng ê kám-tsîng.
你若毋相信,咱就來相輸.	Lí nā m̄ siong-sìn, lán tō lâi sio-su.
你做代誌是袂當共我省工.	Lí tsò tāi-tsì sī bē-tàng kā guá síng-kang.
你愛有出脫人才會看你有.	Lí ài ū tshut-thuat lâng tsiah ē khuànn-lí-ū.
你講若你講,我才毋相信.	Lí kóng ná lí kóng, guá tsiah m̄ siong-sìn.
你欲揣的彼間厝佇倒手爿.	Lí beh tshuē ê hit king tshù tī tò-tshiú-pîng.
你下暗欲佮啥人去凍露水?	Lí e-àm beh kah siánn-lâng khì tàng-lōo-tsuí?
你的跤哪會挵甲烏青凝血?	Lí ê kha ná ē lòng kah oo-tshenn gîng-hueh?
你去買寡秫米轉來做麻糍.	Lí khì bé kuá tsu̍t-bí tńg-lâi tsò muâ-tsî.
你去提寡紙坯來做紙盒仔.	Lí khì the̍h kuá tsuá-phue lâi tsò tsuá-a̍p-á.
你的枕頭囊臭油垢味誠重.	Lí ê tsím-thâu-lông tshàu-iû-káu bī tsiânn tāng.
你昨昏買的彼枝筆袂用得.	Lí tsa-hng bé ê hit ki pit bē-īng--tit.
你若無紮錢,予你先記數.	Lí nā bô tsah tsînn, hōo lí sing kì-siàu.
你敢有需要人共你鬥相共?	Lí kám ū su-iàu lâng kā lí tàu-sann-kāng?
你是偏偏欲佮我做對是無?	Lí sī phian-phian beh kah guá tsò-tuì sī--bô?
你的衫仔櫥閣櫼甲真密實.	Lí ê sann-á-tû koh tsinn kah tsin ba̍t-tsa̍t.
你著愛看較清、認較明咧.	Lí tio̍h-ài khuànn khah tshing, jīn khah bîng--leh.
你最近看起來敢若較清心.	Lí tsuè-kīn khuànn--khí-lâi kánn-ná khah tshing-sim.
你下暗睏的時愛較猛醒咧.	Lí e-àm khùn ê sî ài khah mé-tshénn--leh.
你一人對眾人敢諍會贏人?	Lí tsi̍t lâng tuì tsìng-lâng kám tsènn ē iânn--lâng?
你小等一下,連鞭就好矣.	Lí sió-tán--tsi̍t-ē, liâm-mi tō hó--ah.
你去共彼隻鴨仔喊予伊走.	Lí khì kā hit tsiah ah-á hiàm hōo i tsáu.
你若欲告伊,愛提出證據.	Lí nā beh kò--i, ài thê-tshut tsìng-kì.
你莫想講散凶人就好欺負.	Lí mài siūnn-kóng sàn-hiong-lâng tō hó khi-hū.
你才走無偌久,伊就來矣.	Lí tsiah tsáu bô-guā-kú, i tō lâi--ah.
你講這種話實在無意無思.	Lí kóng tsit tsióng uē si̍t-tsāi bô-ì-bô-sù.
你遮爾鈍,欲按怎做生理?	Lí tsiah-nī tūn, beh án-tsuánn tsò-sing-lí?
你是家己開業抑是予人倩?	Lí sī ka-kī khai-gia̍p ia̍h-sī hōo lâng tshiànn?
你對這件代誌有啥物感想?	Lí tuì tsit kiānn tāi-tsì ū siánn-mih kám-sióng?
你看你浞甲規雙鞋仔全塗.	Lí khuànn lí tshio̍k kah kui siang ê-á tsuân thôo.
你斟酌一下,應該聽會著.	Lí tsim-tsiok--tsi̍t-ē, ing-kai thiann ē tio̍h.
你罰款無繳,會予人吊照.	Lí hua̍t-khuán bô kiáu, ē hōo lâng tiàu tsiàu.
你若閣亂撇,就叫你重寫.	Lí nā koh luān phiat, tō kiò lí tîng siá.
你按呢做有淡薄仔算袂和.	Lí án-ne tsò ū tām-po̍h-á sǹg-bē-hô.
你是按怎認定伊就是兇手?	Lí sī-án-tsuánn jīn-tīng i tō sī hiong-siú?
你著放予輕鬆,莫傷緊張.	Lí tio̍h pàng hōo khin-sang, mài siunn kín-tiunn.
你毋通憢疑我對你的感情.	Lí m̄-thang giâu-gî guá tuì lí ê kám-tsîng.
你小撥幾千箍仔予我一下.	Lí sió puah kuí-tshing-khoo-á hōo--guá--tsi̍t-ē.
你袂使隨便入去人的厝內.	Lí bē-sái suî-piān ji̍p-khì lâng ê tshù-lāi.
你毋知頭尾毋通烏白講話.	Lí m̄ tsai thâu-bué m̄-thang oo-pe̍h kóng-uē.
你共柑仔擘開分予逐家食.	Lí kā kam-á peh-khui pun hōo ta̍k-ke tsia̍h.
你講較簡單咧,伊才聽有.	Lí kóng khah kán-tan--leh, i tsiah thiann-ū.
你看我殕殕,我看你霧霧.	Lí khuànn guá phú-phú, guá khuànn lí bū-bū.
你明仔載欲佮阮去𨑨迌無?	Lí bîn-á-tsài beh kah guán khì tshit-thô--bô?
你講過的話,敢閣會記得?	Lí kóng--kuè ê uē, kám koh ē-kì--tit?
你這箍術仔,敢講毋敢做.	Lí tsit khoo su̍t-á, kánn kóng m̄ kánn tsò.
你毋通逐項代誌攏放外外.	Lí m̄-thang ta̍k hāng tāi-tsì lóng pàng-guā-guā.
佮你滾耍笑的,莫受氣啦!	Kah lí kún-sńg-tshiò--ê, mài siū-khì--lah!
來啦!盡量食菜,免客氣.	Lâi--lah! Tsīn-liōng tsia̍h tshài, bián kheh-khì.
俗物無好貨,好貨毋賣俗.	Sio̍k-mi̍h bô hó huè, hó huè m̄ bē sio̍k.
保領入房,無保領一世人.	Pó-niá ji̍p-pâng, bô pó-niá tsi̍t-sì-lâng.
借問一下,文化路佇佗位?	Tsioh-mn̄g--tsi̍t-ē, Bûn-huà-lōo tī tó-uī？
假使若落雨,我就無愛去.	Ká-sú nā lo̍h-hōo, guá tō bô ài khì.
做人愛有量,才會有福報.	Tsò-lâng ài ū-liōng, tsiah ē ū hok-pò.
做生日遮爾奢颺,真討債.	Tsò-senn-ji̍t tsiah-nī tshia-iānn, tsin thó-tsè.
做歹代誌會萬世袂當超生.	Tsò pháinn tāi-tsì ē bān-sè bē-tàng tshiau-sing.
做人囝兒,就愛奉待爸母.	Tsò lâng kiánn-jî, tō ài hōng-thāi pē-bú.
做官若清廉,食飯著攪鹽.	Tsò-kuann nā tshing-liâm, tsia̍h-pn̄g tio̍h kiáu iâm.
做戲的欲煞,看戲的毋煞.	Tsò-hì--ê beh suah, khuànn-hì--ê m̄ suah.
兄弟若仝心,烏塗變成金.	Hiann-tī nā kāng-sim, oo-thôo piàn-sîng kim.
兄弟仔大漢著愛隨人食矣.	Hiann-tī-á tuā-hàn tio̍h-ài suî-lâng-tsia̍h--ah.
兄弟是兄弟,隨人顧家己.	Hiann-tī sī hiann-tī, suî lâng kòo ka-kī.
兄弟若仝心,烏塗變成金.	Hiann-tī nā kāng sim, oo-thôo piàn-sîng kim.
先莫煩惱錢,救人較要緊.	Sing mài huân-ló tsînn, kiù-lâng khah iàu-kín.
兩个人相挖空,平平失氣.	Nn̄g ê lâng sio-óo-khang, pênn-pênn sit-khuì.
兩人相尋,真久攏毋分開.	Nn̄g lâng sio-siâm, tsin kú lóng m̄ hun--khui.
公司每年攏有發獎金予伊.	Kong-si muí-nî lóng ū huat tsióng-kim hōo--i.
兵營的軍火庫囤真濟銃藥.	Ping-iânn ê kun-hué-khòo tún tsin tsē tshìng-io̍h.
其實,這攏是伊替我做的.	Kî-si̍t, tse lóng sī i thè guá tsò--ê.
刀仔鈍去矣,提去磨磨咧.	To-á tun--khì--ah, the̍h-khì buâ-buâ--leh.
刣魚刣到鰓,做事做透機.	Thâi hî thâi kàu tshi, tsò sū tsò thàu-ki.
別人的桌頂,夾肉飼大家.	Pa̍t-lâng ê toh-tíng, ngeh bah tshī ta-ke.
勸人做好代,較贏食早齋.	Khǹg lâng tsò hó-tāi, khah iânn tsia̍h tsá-tsai.
勸人做好代,較贏食早齋.	Khǹg lâng tsò hó tāi, khah iânn tsia̍h tsá-tsai.
包仔拄炊好的,猶燒唿唿.	Pau-á tú tshue-hó--ê, iáu sio-hut-hut.
千途萬途,毋值得翻田塗.	Tshian tôo bān tôo, m̄ ta̍t-tit huan tshân-thôo.
千算萬算,毋值得天一劃.	Tshian sǹg bān sǹg, m̄ ta̍t-tit thinn tsi̍t ue̍h.
千途萬途,毋值得翻田塗.	Tshian tôo bān tôo, m̄ ta̍t-tit huan tshân thôo.
半遂的會行,臭耳的會聽.	Puàn-suī--ê ē kiânn, tshàu-hīnn--ê ē thiann.
厝是阿公的手尾放落來的.	Tshù sī a-kong ê tshiú-bué pàng--lo̍h-lâi--ê.
厝內的代誌攏是伊咧發落.	Tshù-lāi ê tāi-tsì lóng sī i teh hua̍t-lo̍h.
厝頂崁鐵鉼,熱人會傷熱.	Tshù-tíng khàm thih-phiánn, jua̍h--lâng ē siunn jua̍h.
原來這層代誌是你咧變鬼.	Guân-lâi tsit tsân tāi-tsì sī lí teh pìnn-kuí.
原住民通常比漢人較深目.	Guân-tsū-bîn thong-siông pí Hàn-jîn khah tshim-ba̍k.
去提一塊細塊椅仔來架跤.	Khì the̍h tsi̍t tè sè tè í-á lâi khuè kha.
去音樂館聽歌的滋味袂䆀.	Khì im-ga̍k-kuán thiann kua ê tsu-bī bē-bái.
去提一塊碗公來貯菜頭湯.	Khì the̍h tsi̍t tè uánn-kong lâi té tshài-thâu-thng.
參加宴會著愛打扮較媠咧.	Tsham-ka iàn-huē tio̍h-ài tánn-pān khah suí--leh.
古早人煮飯攏用飯篱撈飯.	Kóo-tsá-lâng tsú pn̄g lóng iōng pn̄g-lē hôo pn̄g.
另工有閒才閣來揣你開講.	Līng-kang ū-îng tsiah-koh lâi tshuē lí khai-káng.
只要有你,代誌就會成功.	Tsí-iàu ū lí, tāi-tsì tō ē sîng-kong.
叫你放手,你是無聽著呢?	Kiò lí pàng-tshiú, lí sī bô thiann--tio̍h--nih?
叫恁老爸趕緊轉來食暗矣.	Kiò lín lāu-pē kuánn-kín tńg-lâi tsia̍h-àm--ah.
向前閣行幾步仔就看著矣.	Hiòng-tsiân koh kiânn kuí-pōo-á tō khuànn--tio̍h--ah.
呼請彼爿溪的阿伯來府城.	Hoo-tshiánn hit pîng khe ê a-peh lâi Hú-siânn.
和平是多數人追求的目標.	Hô-pîng sī to-sòo lâng tui-kiû ê bo̍k-piau.
咱蹛這角圍仔,山勢較低.	Lán tuà tsit kak-uî-á, suann-sè khah kē.
咱會佇遮相拄,攏是天意.	Lán ē tī tsia sio-tú, lóng sī thinn-ì.
咱著愛協力共代誌做予好.	Lán tio̍h-ài hia̍p-li̍k kā tāi-tsì tsò hōo hó.
咱做代誌著愛照法度來行.	Lán tsò tāi-tsì tio̍h-ài tsiàu huat-tōo lâi kiânn.
咱人毋通烏白講人的長短.	Lán-lâng m̄-thang oo-pe̍h kóng lâng ê tn̂g-té.
咱後頭閣有偌濟錢猶未納?	Lán āu-thâu koh ū guā-tsē tsînn iáu-buē la̍p?
咱會當用紙枋來做紙箱仔.	Lán ē-tàng iōng tsuá-pang lâi tsò tsuá-siunn-á.
咱明仔載六點佇車頭集合.	Lán bîn-á-tsài la̍k tiám tī tshia-thâu tsi̍p-ha̍p.
咱愛團結,才袂予人看衰.	Lán ài thuân-kiat, tsiah bē hōo lâng khuànn-sue.
咱人著愛存天良、做好代.	Lán-lâng tio̍h-ài tshûn thian-liông, tsò hó-tāi.
哎喲喂!你莫閣叫我做矣!	Ai--iō-uê! Lí mài koh kiò guá tsò--ah!
哭枵!無紮雨傘煞咧落雨.	Khàu-iau! Bô tsah hōo-suànn suah teh lo̍h-hōo.
啉酒駛車會予警察開罰單.	Lim tsiú sái-tshia ē hōo kíng-tshat khui hua̍t-tuann.
啥物好食物,食甲咂咂叫?	Siánn-mih hó-tsia̍h mi̍h, tsia̍h kah tsa̍p-tsa̍p-kiò?
四月芒種雨,六月火燒埔.	Sì--gue̍h bông-tsíng-hōo, la̍k--gue̍h hué-sio-poo.
囡仔會大,早慢是愛離開.	Gín-á ē tuā, tsá-bān sī ài lī-khui.
囡仔用細枝齒抿仔較好勢.	Gín-á iōng sè ki khí-bín-á khah hó-sè.
囡仔人顧耍,連飯都毋食.	Gín-á-lâng kòo sńg, liân pn̄g to m̄ tsia̍h.
囡仔的成就是爸母的驕傲.	Gín-á ê sîng-tsiū sī pē-bú ê kiau-ngōo.
塗跤先苴報紙才開始油漆.	Thôo-kha sing tsū pò-tsuá tsiah khai-sí iû-tshat.
塗面快收成,人面快反形.	Thôo-bīn khuài siu-sîng, lâng-bīn khuài huán-hîng.
壁櫥做予倚壁較袂占所在.	Piah-tû tsò hōo uá piah khah bē tsiàm sóo-tsāi.
外甥食母舅,親像食豆腐.	Guē-sing tsia̍h bú-kū, tshin-tshiūnn tsia̍h tāu-hū.
大人儉一喙,囡仔食甲飫.	Tuā-lâng khiām tsi̍t tshuì, gín-á tsia̍h kah uì.
大事化小事,小事化無事.	Tuā-sū huà sió-sū, sió-sū huà bô sū.
大學畢業了後就愛揣頭路.	Tāi-ha̍k pit-gia̍p liáu-āu tō ài tshuē thâu-lōo.
大人愛趁錢,囡仔愛過年.	Tuā-lâng ài thàn-tsînn, gín-á ài kuè-nî.
大甲溪放草魚──有準無.	Tāi-kah-khe pàng tsháu-hî──ū tsún bô.
天光矣,你好起來讀冊矣!	Thinn-kng--ah, lí hó khí-lâi tha̍k-tsheh--ah!
天氣遮寒,食火鍋正當時.	Thinn-khì tsiah kuânn, tsia̍h hué-ko tsiànn-tong-sî.
天氣遮熱,足想欲食涼水.	Thinn-khì tsiah jua̍h, tsiok siūnn-beh tsia̍h liâng-tsuí.
失德的代誌咱千萬毋通做.	Sit-tik ê tāi-tsì lán tshian-bān m̄-thang tsò.
好囝毋免濟,濟囝餓死爸.	Hó-kiánn m̄-bián tsē, tsē kiánn gō-sí pē.
好禮仔坐,無,會倒摔向.	Hó-lé-á tsē, bô, ē tò-siàng-hiànn.
好人予你做,我來做臭人.	Hó-lâng hōo lí tsò, guá lâi tsò-tshàu-lâng.
好積德的人才會有好囝孫.	Hó tsik-tik ê lâng tsiah ē ū hó kiánn-sun.
好酒沉甕底,好戲佇戲尾.	Hó-tsiú tîm àng-té, hó hì tī hì-bué.
媒人保入房,無保一世人.	Muê-lâng pó ji̍p pâng, bô pó tsi̍t-sì-lâng.
媠䆀無比止,愛著較慘死.	Suí bái bô pí tsí, ài--tio̍h khah tshám sí.
媽媽去布莊剪布欲做新衫.	Má-mah khì pòo-tsng tsián-pòo beh tsò sin sann.
嫁雞綴雞飛,嫁狗綴狗走.	Kè ke tuè ke pue, kè káu tuè káu tsáu.
嬰仔唔唔睏,一暝大一寸.	Enn-á onn-onn-khùn, tsi̍t mê tuā tsi̍t tshùn.
孔子公,毋敢收人隔暝帖.	Khóng-tsú-kong, m̄ kánn siu lâng keh-mê thiap.
學生佇學校攏會學做針黹.	Ha̍k-sing tī ha̍k-hāu lóng ē o̍h tsò tsiam-tsí.
家己栽一欉,較贏看別人.	Ka-kī tsai tsi̍t tsâng, khah iânn khuànn pa̍t-lâng.
家和萬事興,家亂萬世窮.	Ka hô bān-sū hing, ka luān bān-sè kîng.
寧可信其有,不可信其無.	Lîng-khó sìn kî iú, put-khó sìn kî bû.
寫甲遐爾細字,你敢看有?	Siá kah hiah-nī sè jī, lí kám khuànn-ū?
將來會發生啥代誌無人知.	Tsiong-lâi ē huat-sing siánn tāi-tsì bô lâng tsai.
專業的代誌外行的做袂來.	Tsuan-gia̍p ê tāi-tsì guā-hâng--ê tsò bē lâi.
對遮到淡水有偌遠的路程?	Tuì tsia kàu Tām-tsuí ū guā hn̄g ê lōo-tîng?
小姐,你的物件交落去矣!	Sió-tsiá, lí ê mi̍h-kiānn ka-la̍uh--khì--ah!
小可仔代誌莫一直詬詬唸.	Sió-khuá-á tāi-tsì mài it-ti̍t kāu-kāu-liām.
小病無醫治,會變做大病.	Sió pēnn bô i-tī, ē piàn-tsò tuā pēnn.
少年袂曉想,食老毋成樣.	Siàu-liân bē-hiáu siūnn, tsia̍h-lāu m̄-tsiânn-iūnn.
少年人當飽水,較有氣力.	Siàu-liân-lâng tng pá-tsuí, khah ū khuì-la̍t.
尪姨順話尾,假童害眾人.	Ang-î sūn uē-bué, ké tâng hāi tsìng-lâng.
屘叔仔明仔下昏才會轉來.	Ban-tsik-á bîn-á e-hng tsiah ē tńg--lâi.
工課我家己做做咧較條直!	Khang-khuè guá ka-kī tsò-tsò--leh khah tiâu-ti̍t!
工課若著頭,就會真順序.	Khang-khuè nā tio̍h-thâu, tō ē tsin sūn-sī.
工課做規工,規身軀痛疼.	Khang-khuè tsò kui-kang, kui-sin-khu thàng-thiànn.
已經變紅燈矣,閣硬衝過.	Í-king piàn âng-ting--ah, koh ngē tshiong--kuè.
市場離遮真遠,愛行真久.	Tshī-tiûnn lī tsia tsin hn̄g, ài kiânn tsin kú.
年節時仔愛攢三牲來拜拜.	Nî-tseh-sî-á ài tshuân sam-sing lâi pài-pài.
幼路工課低路師做無路來.	Iù-lōo khang-khuè kē-lōo-sai tsò bô-lōo-lâi.
彼兩丸烏烏的物件是啥物?	Hit nn̄g uân oo-oo ê mi̍h-kiānn sī siánn-mih?
彼項工夫伊已經學上手矣.	Hit hāng kang-hu i í-king o̍h tsiūnn-tshiú--ah.
彼个查某囡仔講話真大範.	Hit ê tsa-bóo gín-á kóng-uē tsin tuā-pān.
彼个查某囡仔生做真古錐.	Hit ê tsa-bóo gín-á senn-tsò tsin kóo-tsui.
彼个怪人閣咧變鬼變怪矣.	Hit ê kuài-lâng koh teh pìnn-kuí-pìnn-kuài--ah.
彼个就是這擺考試的狀元.	Hit ê tō sī tsit pái khó-tshì ê tsiōng-guân.
彼塊田借錢已經第二胎矣.	Hit tè tshân tsioh tsînn í-king tē-jī thai--ah.
彼个人按怎叫都叫袂振動.	Hit ê lâng án-tsuánn kiò to kiò bē tín-tāng.
彼塊素面的布看著較清爽.	Hit tè sòo-bīn ê pòo khuànn tio̍h khah tshing-sóng.
彼个乞食婆攏四界去討食.	Hit ê khit-tsia̍h-pô lóng sì-kè khì thó-tsia̍h.
彼件代誌就留予你去探聽.	Hit kiānn tāi-tsì tō lâu hōo lí khì thàm-thiann.
彼間新的賣場當時欲開市?	Hit king sin ê bē-tiûnn tang-sî beh khui-tshī?
彼種暗毿所在你上好莫去.	Hit tsióng àm-sàm sóo-tsāi lí siōng-hó mài khì.
彼个囡仔規身軀攏生痱仔.	Hit ê gín-á kui-sin-khu lóng senn puì-á.
彼个頭家娘對人客誠好禮.	Hit ê thâu-ke-niû tuì lâng-kheh tsiânn hó-lé.
彼台車予人挵甲糜糜卯卯.	Hit tâi tshia hōo lâng lòng kah mi-mi-mauh-mauh.
彼攏是謠言,你毋通相信.	He lóng sī iâu-giân, lí m̄-thang siong-sìn.
彼个公園有真濟羅漢跤仔.	Hit ê kong-hn̂g ū tsin tsē lô-hàn-kha-á.
彼箍講的話我攏無咧共𫝺.	Hit khoo kóng ê uē guá lóng bô teh kā hiù.
彼領衫殕殕,這領較豔色.	Hit niá sann phú-phú, tsit niá khah iām-sik.
徛佇尾溜彼个,你敢捌伊?	Khiā tī bué-liu hit ê, lí kám bat--i?
心肝內懷疑,但是毋敢講.	Sim-kuann-lāi huâi-gî, tān-sī m̄ kánn kóng.
心歹無人知,喙歹上厲害.	Sim pháinn bô lâng tsai, tshuì pháinn siōng lī-hāi.
忍啊忍,忍著一个金石盾.	Lún--ah lún, lún-tio̍h tsi̍t ê kim tsio̍h-tún.
恁彼个單位在額的有偌濟?	Lín hit ê tan-uī tsāi-gia̍h--ê ū guā-tsē?
恁兩个千萬毋通串通害人.	Lín nn̄g ê tshian-bān m̄-thang tshuàn-thong hāi--lâng.
恁遮有啥物好食的通治枵?	Lín tsia ū siánn-mih hó-tsia̍h--ê thang tī-iau?
恁按呢不時相觸,敢袂𤺪?	Lín án-ne put-sî sio-tak, kám bē siān?
恁兩个這馬敢閣有咧通批?	Lín nn̄g ê tsit-má kám koh ū teh thong-phue?
恁查某囝啥物時陣欲過門?	Lín tsa-bóo-kiánn siánn-mih sî-tsūn beh kuè-mn̂g?
恁阿兄佇便所內底擠𤶃仔.	Lín a-hiann tī piān-sóo lāi-té tsik thiāu-á.
想袂到你竟然會曉歕鼓吹.	Siūnn-bē-kàu lí kìng-jiân ē-hiáu pûn kóo-tshue.
愛努力拍拚,才會出頭天.	Ài lóo-li̍k phah-piànn, tsiah ē tshut-thâu-thinn.
感情的代誌是袂當勉強的.	Kám-tsîng ê tāi-tsì sī bē-tàng bián-kióng--ê.
我今仔入門,電話就來矣.	Guá tann-á ji̍p-mn̂g, tiān-uē tō lâi--ah.
我今年就欲入學去讀冊矣!	Guá kin-nî tō beh ji̍p-o̍h khì tha̍k-tsheh--ah!
我會按呢做攏是不得已的.	Guá ē án-ne tsò lóng sī put-tik-í--ê.
我無佮意伊做代誌的方式.	Guá bô kah-ì i tsò tāi-tsì ê hong-sik.
我手尾力無夠,捾袂起來.	Guá tshiú-bué-la̍t bô-kàu, kuānn bē khí--lâi.
我半路拄著朋友,真歡喜.	Guá puànn-lōo tú-tio̍h pîng-iú, tsin huann-hí.
我欲來去市場買一塊豬肝.	Guá beh lâi-khì tshī-tiûnn bé tsi̍t tè ti-kuann.
我全然毋知發生啥物代誌.	Guá tsuân-jiân m̄ tsai huat-sing siánn-mih tāi-tsì.
我的口座猶有淡薄仔存款.	Guá ê kháu-tsō iáu-ū tām-po̍h-á tsûn-khuán.
我才搬來,猶未安搭好勢.	Guá tsiah puann--lâi, iáu-buē an-tah hó-sè.
我唱歌,伊彈琴替我伴奏.	Guá tshiùnn-kua, i tuânn-khîm thè guá phuānn-tsàu.
我看著有人佇水底沐沐泅.	Guá khuànn-tio̍h ū lâng tī tsuí-té bo̍k-bo̍k-siû.
我見面就講伊袂佮咱合股.	Guá kìnn-bīn tō kóng i bē kah lán ha̍p-kóo.
我會按呢做嘛是姑不而將.	Guá ē án-ne tsò mā sī koo-put-jî-tsiong.
我無彼號性命佮你按呢耍.	Guá bô hit-lō sènn-miā kah lí án-ne sńg.
我的鬢邊一陣一陣咧抽疼.	Guá ê pìn-pinn tsi̍t tsūn tsi̍t tsūn teh thiu-thiànn.
我承認這項代誌是我毋著.	Guá sîng-jīn tsit hāng tāi-tsì sī guá m̄-tio̍h.
我手頭有彼間公司的股票.	Guá tshiú-thâu ū hit king kong-si ê kóo-phiò.
我希望後出世會當做查某.	Guá hi-bāng āu-tshut-sì ē-tàng tsò tsa-bóo.
我共衫仔褲挂佇衫架仔頂.	Guá kā sann-á-khòo kuì tī sann-kè-á-tíng.
我捌聽過白賊七仔的故事.	Guá bat thiann-kuè Pe̍h-tsha̍t-tshit--á ê kòo-sū.
我是阿媽共我晟養大漢的.	Guá sī a-má kā guá tshiânn-ióng tuā-hàn--ê.
我小眠一下,你莫共我吵.	Guá sió bîn--tsi̍t-ē, lí mài kā guá tshá.
我想欲出門,偏偏落雨矣.	Guá siūnn-beh tshut-mn̂g, phian-phian lo̍h-hōo--ah.
我想欲佮你參詳一項代誌!	Guá siūnn-beh kah lí tsham-siông tsi̍t hāng tāi-tsì!
我想欲捻一塊粿來食看覓.	Guá siūnn-beh liàm tsi̍t tè kué lâi tsia̍h khuànn-māi.
我掠做無人知影彼件代誌.	Guá lia̍h-tsò bô lâng tsai-iánn hit kiānn tāi-tsì.
我來揀菜,揀好才予你洗.	Guá lâi kíng-tshài, kíng-hó tsiah hōo lí sé.
我的粒仔發癀矣,足疼的!	Guá ê lia̍p-á huat-hông--ah, tsiok thiànn--ê!
我越頭才看著伊徛佇後壁.	Guá ua̍t-thâu tsiah khuànn-tio̍h i khiā tī āu-piah.
我趕路趕甲強欲酥腰去矣.	Guá kuánn-lōo kuánn kah kiōng-beh soo-io--khì--ah.
我當天咒誓,絕對無騙你.	Guá tng thinn tsiù-tsuā, tsua̍t-tuì bô phiàn--lí.
我當咧無閒,你莫共我吵.	Guá tng-teh bô-îng, lí mài kā guá tshá.
我共你當做是上好的朋友.	Guá kā lí tòng-tsò sī siōng hó ê pîng-iú.
我的腹肚疼甲若像咧滾絞.	Guá ê pak-tóo thiànn kah ná-tshiūnn teh kún-ká.
我有看著伊屧一千箍予你.	Guá ū khuànn-tio̍h i siap tsi̍t-tshing khoo hōo--lí.
我已經確定欲來去做兵矣.	Guá í-king khak-tīng beh lâi-khì tsò-ping--ah.
我無愛的物件硬欲糊予我.	Guá bô ài ê mi̍h-kiānn ngē beh kôo hōo--guá.
我毋知影伊唱的是啥物調.	Guá m̄ tsai-iánn i tshiùnn--ê sī siánn-mih tiāu.
我懇求你,原諒伊的過失.	Guá khún-kiû--lí, guân-liōng i ê kuè-sit.
我佮伊約佇戲園門口見面.	Guá kah i iok tī hì-hn̂g mn̂g-kháu kìnn-bīn.
我的衫予人黜一空真大空.	Guá ê sann hōo lâng thuh tsi̍t khang tsin tuā khang.
我已經坐三點鐘久的車矣.	Guá í-king tsē sann tiám-tsing kú ê tshia--ah.
我一定欲佮你拚一下懸低!	Guá it-tīng beh kah lí piànn tsi̍t-ē kuân-kē!
我的面子你嘛共我顧一下.	Guá ê bīn-tsú lí mā kā guá kòo--tsi̍t-ē.
我感覺做人毋通傷大目孔.	Guá kám-kak tsò-lâng m̄-thang siunn tuā-ba̍k-khóng.
我啉咖啡,一工極加兩杯.	Guá lim ka-pi, tsi̍t kang ki̍k-ke nn̄g pue.
我老罔老,跤手猶真儼硬.	Guá lāu bóng lāu, kha-tshiú iáu tsin giám-ngē.
我都毋是仙講會騰雲駕霧.	Guá to m̄ sī sian kóng ē thîng-hûn-kà-bū.
戲台小人生,人生大戲台.	Hì-tâi sió jîn-sing, jîn-sing tuā hì-tâi.
手洗洗咧,好來拜公媽矣.	Tshiú sé-sé--leh, hó lâi pài kong-má--ah.
手䘼傷束,我的手軁袂過.	Tshiú-ńg siunn sok, guá ê tshiú nng bē kuè.
拋荒的土地發足濟刺查某.	Pha-hng ê thóo-tē huat tsiok tsē tshiah-tsa-bóo.
拚暝工,七晏八晏才去睏.	Piànn-mê-kang, tshit-uànn-peh-uànn tsiah khì khùn.
捷見官袂畏,捷食酒袂醉.	Tsia̍p kìnn kuann bē uì, tsia̍p tsia̍h-tsiú bē tsuì.
掃地掃壁角,洗面洗耳空.	Sàu-tè sàu piah-kak, sé-bīn sé hīnn-khang.
揀啊揀,揀著一个賣龍眼.	Kíng--ah kíng, kíng-tio̍h tsi̍t ê bē lîng-gíng.
提草仔膏共烏青跡推推咧!	The̍h tsháu-á-ko kā oo-tshenn jiah thui-thui--leh!
提量仔來量看豬仔有偌重.	The̍h niū-á lâi niū khuànn ti-á ū guā tāng.
攑椅頭仔去外口坐較秋凊.	Gia̍h í-thâu-á khì guā-kháu tsē khah tshiu-tshìn.
攑棍仔對頭殼共伊𢪱落去.	Gia̍h kùn-á tuì thâu-khak kā i bu̍t--lo̍h-khì.
收瀾收離離,囡仔好育飼.	Siu-nuā siu-lī-lī, gín-á hó-io-tshī.
收瀾收離離,明年招小弟.	Siu-nuā siu-lī-lī, mê-nî tsio sió-tī.
收瀾收焦焦,明年生𡳞脬.	Siu-nuā siu-ta-ta, mê-nî senn lān-pha.
救人的代誌就愛趕緊處理.	Kiù-lâng ê tāi-tsì tō ài kuánn-kín tshú-lí.
敢做匏桸,就毋通驚水燙.	Kánn tsò pû-hia, tō m̄-thang kiann tsuí thǹg.
斟酒愛細膩,毋通斟傷滇.	Thîn tsiú ài sè-jī, m̄-thang thîn siunn tīnn.
新新的物件毋通按呢蹧躂.	Sin-sin ê mi̍h-kiānn m̄-thang án-ne tsau-that.
新正年頭見面攏會講好話.	Sin-tsiann-nî-thâu kìnn-bīn lóng ē kóng hó-uē.
日本料理我較食都袂佮喙.	Ji̍t-pún liāu-lí guá khah tsia̍h to bē kah-tshuì.
